"Record ID","Country","City","Temperature","Humidity","Precipitation","Air Quality Index","Extreme Weather Events","Climate Classification","Climate Zone","Biome Type","Heat Index","Wind Speed","Wind Direction","Season","Population Exposure","Economic Impact Estimate","Infrastructure Vulnerability Score","Date"
"s.a_1","South Africa","Johannesburg","-2.3",10,"96.8",53,"None","Koeppen-A","Tropical","Desert","-1.8","8.5","NW","Winter","9878226","20653209.25",9,"2024-01-01"
"s.a_10","South Africa","Johannesburg","28.1",41,"22.3",355,"None","Koeppen-C","Tropical","Tundra","30.2","0.6","E","Winter","9380306","43090334.79",3,"2024-01-10"
"s.a_100","South Africa","Johannesburg","3.6",15,"172.2",153,"None","Koeppen-D","Tropical","Grassland","4.3","14.7","SW","Spring","3227151","75802478.36",7,"2024-04-09"
"s.a_1000","South Africa","Cape Town","-0.7",29,"126.9",118,"None","Koeppen-D","Tropical","Forest","0.8","5.6","SW","Autumn","8951289","66760774.51",2,"2024-09-25"
"s.a_1001","South Africa","Cape Town","-2.7",51,"133.5",237,"None","Koeppen-D","Tropical","Forest","-0.1","1.6","NE","Autumn","1859064","89578278.76",10,"2024-09-26"
"s.a_1002","South Africa","Cape Town","41.8",17,"133",474,"None","Koeppen-A","Tropical","Tundra","42.6","32.2","W","Autumn","4722051","60252638.61",9,"2024-09-27"
"s.a_1003","South Africa","Cape Town","29.9",69,"199.8",363,"Flood","Koeppen-B","Tropical","Tundra","33.4","22.7","SE","Autumn","82404","48904728.27",3,"2024-09-28"
"s.a_1004","South Africa","Cape Town","8.8",68,"35.5",180,"None","Koeppen-B","Tropical","Desert","12.2","28","E","Autumn","3430295","65219373.83",6,"2024-09-29"
"s.a_1005","South Africa","Cape Town","9.8",12,"36.2",310,"None","Koeppen-A","Tropical","Desert","10.4","1","W","Autumn","7641664","51219394.17",7,"2024-09-30"
"ind_968","India","Mumbai","38.7",85,"178.8",420,"None","Koeppen-A","Arid","Tundra","43","19.9","W","Summer","3587361","84236155.93",5,"2024-08-24"
"aus_1","Australia","Sydney","20.3",41,"127.1",207,"None","Koeppen-B","Arid","Wetland","22.4","18.3","W","Winter","8549476","34039796.05",9,"2024-01-01"
"aus_10","Australia","Sydney","17.9",68,"155.5",84,"None","Koeppen-B","Arid","Tundra","21.3","29.6","SE","Winter","8166878","50620627.04",10,"2024-10-01"
"aus_100","Australia","Sydney","18.4",71,"177.1",185,"None","Koeppen-B","Arid","Desert","21.9","12.2","SW","Spring","8791432","26001877.25",3,"2024-09-04"
"aus_1000","Australia","Melbourne","6.9",91,"94.6",379,"None","Koeppen-C","Arid","Forest","11.4","37","N","Autumn","4801833","20135263.48",5,"2024-09-25"
"aus_1001","Australia","Melbourne","29.3",14,"12.7",108,"None","Koeppen-A","Arid","Tundra","30","27.6","SW","Autumn","8449745","34885208.8",5,"2024-09-26"
"aus_1002","Australia","Melbourne","6.4",68,"91.1",232,"None","Koeppen-C","Arid","Desert","9.8","14.9","E","Autumn","1341239","51242929.55",5,"2024-09-27"
"aus_1003","Australia","Melbourne","28.6",43,"132.9",165,"None","Koeppen-D","Arid","Wetland","30.8","19.5","E","Autumn","5647240","71203321.02",5,"2024-09-28"
"aus_1004","Australia","Melbourne","34.6",97,"59.3",163,"Flood","Koeppen-B","Arid","Forest","39.5","12.7","S","Autumn","3530242","52893992.96",8,"2024-09-29"
"aus_1005","Australia","Melbourne","38.9",31,"174.4",321,"None","Koeppen-A","Arid","Grassland","40.4","35.6","E","Autumn","1308827","25435259.88",6,"2024-09-30"
"aus_1006","Australia","Melbourne","-2",84,"57.9",498,"None","Koeppen-C","Arid","Desert","2.2","13","NW","Autumn","6966190","65470527.22",3,"2024-01-10"
"aus_1007","Australia","Melbourne","7.1",43,"162.2",371,"None","Koeppen-B","Arid","Desert","9.2","19.7","W","Autumn","3799018","17759219.22",1,"2024-02-10"
"aus_1008","Australia","Melbourne","16.4",56,"156.7",164,"None","Koeppen-A","Arid","Forest","19.2","38.3","NW","Autumn","4049952","93674460.42",7,"2024-03-10"
"aus_1009","Australia","Melbourne","17.7",21,"95.5",412,"None","Koeppen-D","Arid","Desert","18.8","7.2","E","Autumn","514025","73186780.89",6,"2024-04-10"
"aus_101","Australia","Sydney","10.7",38,"115.1",208,"None","Koeppen-A","Arid","Grassland","12.6","30.1","W","Spring","5088149","91742530.34",5,"2024-10-04"
"aus_1010","Australia","Melbourne","33.2",78,"17.8",213,"Heatwave","Koeppen-C","Arid","Desert","37.1","33.3","SW","Autumn","9489569","2900873.14",1,"2024-05-10"
"aus_1011","Australia","Melbourne","-2.3",80,"161.3",247,"None","Koeppen-D","Arid","Grassland","1.7","4.5","NE","Autumn","4244296","29049840.41",1,"2024-06-10"
"aus_1012","Australia","Melbourne","-0.7",25,"90.8",269,"None","Koeppen-A","Arid","Wetland","0.6","32.3","SE","Autumn","4592684","36978896.89",5,"2024-07-10"
"aus_1013","Australia","Melbourne","39.5",37,"13.1",291,"None","Koeppen-C","Arid","Forest","41.4","16.4","SW","Autumn","3647118","69347777.56",2,"2024-08-10"
"aus_1014","Australia","Melbourne","14.8",77,"10",255,"None","Koeppen-D","Arid","Tundra","18.7","9.8","SW","Autumn","5440540","93305470.98",9,"2024-09-10"
"aus_1015","Australia","Melbourne","17.9",83,"172.7",427,"None","Koeppen-D","Arid","Wetland","22","22.9","S","Autumn","1658361","23644784.39",4,"2024-10-10"
"aus_1016","Australia","Melbourne","41.5",28,"75.3",467,"None","Koeppen-C","Arid","Tundra","42.9","2.1","NW","Autumn","6411894","31207642.34",6,"2024-11-10"
"aus_1017","Australia","Melbourne","37.8",80,"27.2",424,"None","Koeppen-B","Arid","Wetland","41.8","5.8","E","Autumn","8049652","86486437.06",8,"2024-12-10"
"aus_1018","Australia","Melbourne","21",98,"5",430,"Hurricane","Koeppen-B","Arid","Tundra","25.9","37.9","N","Autumn","8895830","82280767.26",2,"2024-10-13"
"aus_1019","Australia","Melbourne","13.9",18,"130.7",182,"None","Koeppen-C","Arid","Wetland","14.8","24.4","W","Autumn","3695436","28661089.86",10,"2024-10-14"
"aus_102","Australia","Sydney","19.5",22,"155.6",216,"None","Koeppen-B","Arid","Tundra","20.6","30.9","W","Spring","1056414","48827896.18",5,"2024-11-04"
"aus_1020","Australia","Melbourne","33.3",61,"65.6",494,"None","Koeppen-C","Arid","Forest","36.3","30.1","N","Autumn","3160927","89780233.73",6,"2024-10-15"
"aus_1021","Australia","Melbourne","9.4",79,"115.5",192,"None","Koeppen-A","Arid","Forest","13.4","6.7","NW","Autumn","5807783","38515491.91",3,"2024-10-16"
"aus_1022","Australia","Melbourne","41.5",68,"53.4",418,"None","Koeppen-B","Arid","Tundra","44.9","20.9","NE","Autumn","1725604","90156431.4",5,"2024-10-17"
"aus_1023","Australia","Melbourne","32.4",97,"110.4",32,"None","Koeppen-B","Arid","Forest","37.2","24","N","Autumn","8023153","44887587.17",8,"2024-10-18"
"aus_1024","Australia","Melbourne","14.9",45,"7.6",10,"Heatwave","Koeppen-B","Arid","Wetland","17.1","24.7","S","Autumn","4337932","58969899.38",7,"2024-10-19"
"aus_1025","Australia","Melbourne","21.5",76,"130.7",358,"Heatwave","Koeppen-A","Arid","Wetland","25.3","35.6","E","Autumn","8415212","61342195.03",3,"2024-10-20"
"aus_1026","Australia","Melbourne","-8.9",66,"65.5",458,"None","Koeppen-A","Arid","Forest","-5.6","3","S","Autumn","5707565","42117429.51",2,"2024-10-21"
"aus_1027","Australia","Melbourne","42.5",31,"61.2",217,"None","Koeppen-B","Arid","Wetland","44","26.3","SE","Autumn","9455893","11360692.86",3,"2024-10-22"
"aus_1028","Australia","Melbourne","-3.3",13,"105.9",369,"None","Koeppen-D","Arid","Wetland","-2.6","18.1","S","Autumn","6616409","50836920.26",1,"2024-10-23"
"aus_1029","Australia","Melbourne","39.9",66,"126.8",384,"None","Koeppen-C","Arid","Grassland","43.2","9.6","SE","Autumn","5696257","27413972.92",7,"2024-10-24"
"aus_103","Australia","Sydney","31.6",40,"95.9",131,"None","Koeppen-A","Arid","Desert","33.6","2.8","SW","Spring","7261209","94091819.59",9,"2024-12-04"
"aus_1030","Australia","Melbourne","21",59,"94.6",262,"None","Koeppen-D","Arid","Desert","23.9","1.1","SE","Autumn","8525262","93405129.96",5,"2024-10-25"
"aus_1031","Australia","Melbourne","36.8",54,"48.9",118,"None","Koeppen-B","Arid","Wetland","39.5","32.2","NW","Autumn","7191713","78059885.51",1,"2024-10-26"
"aus_1032","Australia","Melbourne","35.8",93,"48.8",93,"None","Koeppen-C","Arid","Grassland","40.4","22.2","SE","Autumn","2323137","2368438.18",2,"2024-10-27"
"aus_1033","Australia","Melbourne","-8.7",59,"188.9",480,"None","Koeppen-C","Arid","Grassland","-5.7","8.6","SW","Autumn","3079385","46544648.59",4,"2024-10-28"
"aus_1034","Australia","Melbourne","-2.5",98,"51.8",10,"None","Koeppen-A","Arid","Tundra","2.4","18.5","SW","Autumn","2122292","66386511.81",10,"2024-10-29"
"aus_1035","Australia","Melbourne","34.6",78,"136.6",192,"None","Koeppen-A","Arid","Wetland","38.5","1.2","E","Autumn","5123776","17115882.48",6,"2024-10-30"
"aus_1036","Australia","Melbourne","-1.4",47,"80.3",233,"None","Koeppen-A","Arid","Forest","1","9.2","SW","Autumn","6145808","50880616.36",7,"2024-10-31"
"aus_1037","Australia","Melbourne","10.8",64,"127",243,"Hurricane","Koeppen-B","Arid","Grassland","14","13.1","S","Autumn","5050957","78779728.43",3,"2024-01-11"
"aus_1038","Australia","Melbourne","22.1",11,"150.6",264,"None","Koeppen-D","Arid","Wetland","22.7","21.9","E","Autumn","3617438","36179403.02",9,"2024-02-11"
"aus_1039","Australia","Melbourne","25.9",22,"25.5",39,"None","Koeppen-D","Arid","Forest","27","26.6","SW","Autumn","1236192","42321879.24",4,"2024-03-11"
"aus_104","Australia","Sydney","39.9",95,"145.3",272,"Flood","Koeppen-A","Arid","Tundra","44.6","32.4","E","Spring","4399144","93438802.5",9,"2024-04-13"
"aus_1040","Australia","Melbourne","29.3",14,"69.6",22,"Heatwave","Koeppen-C","Arid","Grassland","30","33.7","NE","Autumn","2521389","43562619.15",7,"2024-04-11"
"aus_1041","Australia","Melbourne","-5.6",46,"112.8",327,"None","Koeppen-A","Arid","Tundra","-3.3","16.6","N","Autumn","2408436","64959781.71",4,"2024-05-11"
"aus_1042","Australia","Melbourne","6.2",94,"186.4",319,"None","Koeppen-D","Arid","Forest","10.9","32.2","SW","Autumn","1510411","51881474.75",1,"2024-06-11"
"aus_1043","Australia","Melbourne","25",13,"166.9",161,"None","Koeppen-A","Arid","Grassland","25.6","9.5","W","Autumn","4036750","16365256.16",5,"2024-07-11"
"aus_1044","Australia","Melbourne","42.9",54,"158.6",357,"Drought","Koeppen-A","Arid","Wetland","45.6","1.6","NW","Autumn","6748340","67818384.99",1,"2024-08-11"
"aus_1045","Australia","Melbourne","21.9",16,"99.8",459,"None","Koeppen-D","Arid","Desert","22.7","14.1","N","Autumn","7670373","17358686.35",1,"2024-09-11"
"aus_1046","Australia","Melbourne","5",41,"42.6",338,"None","Koeppen-C","Arid","Wetland","7.1","3.8","N","Autumn","1087","54915040.22",4,"2024-10-11"
"aus_1047","Australia","Melbourne","-8.1",94,"122.3",74,"None","Koeppen-B","Arid","Grassland","-3.4","7.8","N","Autumn","4245041","54337220.62",3,"2024-11-11"
"aus_1048","Australia","Melbourne","39.1",63,"1.8",155,"None","Koeppen-B","Arid","Desert","42.2","36.7","SE","Autumn","7463877","24329695.41",9,"2024-12-11"
"aus_1049","Australia","Melbourne","9.4",35,"135.2",467,"None","Koeppen-D","Arid","Forest","11.2","20.5","N","Autumn","9980312","76708673.41",7,"2024-11-13"
"aus_105","Australia","Sydney","7.2",73,"100.2",99,"Heatwave","Koeppen-B","Arid","Forest","10.9","32.5","E","Spring","2650075","8987350.99",4,"2024-04-14"
"aus_1050","Australia","Melbourne","36.3",90,"28.9",166,"None","Koeppen-A","Arid","Tundra","40.8","39.3","W","Autumn","8070820","81487337.46",6,"2024-11-14"
"aus_1051","Australia","Melbourne","43.4",70,"45",324,"None","Koeppen-D","Arid","Desert","46.9","38.8","SW","Autumn","7799648","78461942.75",2,"2024-11-15"
"aus_1052","Australia","Melbourne","8.6",24,"3.8",395,"None","Koeppen-D","Arid","Grassland","9.8","34.1","E","Autumn","8162049","12271217.88",2,"2024-11-16"
"aus_1053","Australia","Melbourne","-4.8",28,"161",86,"None","Koeppen-B","Arid","Forest","-3.4","28.6","E","Autumn","275836","9689493.23",8,"2024-11-17"
"aus_1054","Australia","Melbourne","-6.5",17,"17.3",414,"None","Koeppen-A","Arid","Wetland","-5.7","19.5","SE","Autumn","112688","93243820.77",3,"2024-11-18"
"aus_1055","Australia","Melbourne","15.9",58,"5",100,"None","Koeppen-D","Arid","Grassland","18.8","33","NW","Autumn","6944718","79819655.54",6,"2024-11-19"
"aus_1056","Australia","Melbourne","32.9",74,"86.3",451,"Flood","Koeppen-A","Arid","Tundra","36.6","0.1","SW","Autumn","4670176","76643144.94",8,"2024-11-20"
"aus_1057","Australia","Melbourne","-4.8",59,"62.9",229,"None","Koeppen-C","Arid","Desert","-1.8","20.5","SW","Autumn","1282648","3139575.19",4,"2024-11-21"
"aus_1058","Australia","Melbourne","22.4",70,"13.7",95,"None","Koeppen-B","Arid","Wetland","25.9","10.8","N","Autumn","8743449","79263180.1",8,"2024-11-22"
"aus_1059","Australia","Melbourne","4.7",18,"64",299,"None","Koeppen-B","Arid","Wetland","5.6","37.2","NE","Autumn","4786286","41230605.1",1,"2024-11-23"
"aus_106","Australia","Sydney","24.2",90,"85.3",75,"None","Koeppen-D","Arid","Grassland","28.7","33.3","S","Spring","4486261","94826160.32",3,"2024-04-15"
"aus_1060","Australia","Melbourne","1.6",98,"132.1",231,"None","Koeppen-B","Arid","Forest","6.5","27.8","SE","Autumn","2277131","77188622.93",2,"2024-11-24"
"aus_1061","Australia","Melbourne","12",67,"87.8",124,"None","Koeppen-C","Arid","Grassland","15.3","22.4","NE","Autumn","6608473","26170208.97",6,"2024-11-25"
"aus_1062","Australia","Melbourne","26.2",11,"10.9",395,"None","Koeppen-D","Arid","Wetland","26.8","32.4","SE","Autumn","6718625","58578767.67",6,"2024-11-26"
"aus_1063","Australia","Melbourne","23.3",81,"144.2",362,"None","Koeppen-D","Arid","Desert","27.4","17.7","SE","Autumn","7082848","1505946.53",5,"2024-11-27"
"aus_1064","Australia","Melbourne","24.5",28,"41.1",112,"None","Koeppen-D","Arid","Grassland","25.9","16.5","W","Autumn","9720750","60117507.68",6,"2024-11-28"
"aus_1065","Australia","Melbourne","-1",92,"108.2",265,"None","Koeppen-C","Arid","Wetland","3.6","10.6","NE","Autumn","4011518","88385350.88",8,"2024-11-29"
"aus_1066","Australia","Melbourne","29.6",36,"51.8",372,"None","Koeppen-B","Arid","Grassland","31.4","1.4","SE","Autumn","4771719","59477182.79",6,"2024-11-30"
"aus_1067","Australia","Melbourne","14.5",46,"166.8",115,"None","Koeppen-B","Arid","Grassland","16.8","0.3","N","Winter","9390301","26019194.15",6,"2024-01-12"
"aus_1068","Australia","Melbourne","20.3",72,"168.5",39,"None","Koeppen-D","Arid","Wetland","23.9","7.8","E","Winter","5272153","58803553.63",10,"2024-02-12"
"aus_1069","Australia","Melbourne","26.2",50,"117.1",337,"None","Koeppen-D","Arid","Wetland","28.7","25","S","Winter","6881159","80818987.93",1,"2024-03-12"
"aus_107","Australia","Sydney","26",49,"184.6",173,"Drought","Koeppen-D","Arid","Wetland","28.4","15.9","S","Spring","3775101","66174820.1",7,"2024-04-16"
"aus_1070","Australia","Melbourne","32.4",22,"71.9",211,"Drought","Koeppen-D","Arid","Desert","33.5","21.8","SE","Winter","8633239","90877453.64",8,"2024-04-12"
"aus_1071","Australia","Melbourne","37.6",82,"6.7",54,"None","Koeppen-C","Arid","Forest","41.7","1.3","NW","Winter","1171412","53183240.81",3,"2024-05-12"
"aus_1072","Australia","Melbourne","35.6",97,"95.1",401,"None","Koeppen-A","Arid","Desert","40.5","28.1","E","Winter","9119199","64614358.78",3,"2024-06-12"
"aus_1073","Australia","Melbourne","33.9",23,"78.2",380,"None","Koeppen-D","Arid","Forest","35","24.2","SW","Winter","3799878","4015241.75",8,"2024-07-12"
"aus_1074","Australia","Melbourne","41.5",23,"193.8",458,"None","Koeppen-C","Arid","Grassland","42.6","21.8","E","Winter","6635439","89922049",5,"2024-08-12"
"aus_1075","Australia","Melbourne","38.5",91,"152.3",332,"None","Koeppen-B","Arid","Wetland","43","0.1","SW","Winter","5931852","49694319.13",8,"2024-09-12"
"aus_1076","Australia","Melbourne","5.6",81,"53.5",276,"None","Koeppen-C","Arid","Wetland","9.6","38","SE","Winter","9372979","31126620.32",8,"2024-10-12"
"aus_1077","Australia","Melbourne","13.2",35,"73.4",411,"None","Koeppen-B","Arid","Forest","14.9","4.7","SE","Winter","3404823","56777666.91",8,"2024-11-12"
"aus_1078","Australia","Melbourne","1.7",65,"158.4",374,"Hurricane","Koeppen-D","Arid","Desert","5","32.3","NE","Winter","7160331","15793702.52",7,"2024-12-12"
"aus_1079","Australia","Melbourne","29.3",85,"69.8",48,"None","Koeppen-B","Arid","Forest","33.5","28.3","E","Winter","9965399","23576647.88",3,"2024-12-13"
"aus_108","Australia","Sydney","6",27,"6.4",137,"None","Koeppen-C","Arid","Grassland","7.3","31","NE","Spring","527312","13298250.38",7,"2024-04-17"
"aus_1080","Australia","Melbourne","16.9",57,"40.8",195,"None","Koeppen-A","Arid","Wetland","19.8","28.6","NE","Winter","1596402","7041283.42",3,"2024-12-14"
"aus_1081","Australia","Melbourne","36.4",21,"77.7",345,"None","Koeppen-C","Arid","Grassland","37.4","30.8","E","Winter","2295449","22808495.69",4,"2024-12-15"
"aus_1082","Australia","Melbourne","-6.9",38,"107.1",73,"Heatwave","Koeppen-C","Arid","Tundra","-5","21.2","NW","Winter","662456","17031101.37",2,"2024-12-16"
"aus_1083","Australia","Melbourne","36.1",43,"18.2",157,"None","Koeppen-C","Arid","Wetland","38.2","27.8","E","Winter","282687","6788798.54",2,"2024-12-17"
"aus_1084","Australia","Melbourne","22.2",35,"40.2",478,"Heatwave","Koeppen-A","Arid","Tundra","23.9","7.1","SW","Winter","9011696","70569918.72",4,"2024-12-18"
"aus_1085","Australia","Melbourne","44",35,"155.9",25,"None","Koeppen-B","Arid","Tundra","45.8","20.8","E","Winter","426166","48906329.44",7,"2024-12-19"
"aus_1086","Australia","Melbourne","11.5",91,"147.8",208,"None","Koeppen-A","Arid","Tundra","16.1","11.4","N","Winter","6763966","12997372.16",1,"2024-12-20"
"aus_1087","Australia","Melbourne","6.6",61,"136.5",87,"None","Koeppen-A","Arid","Tundra","9.7","28","NE","Winter","8175533","92893292.61",9,"2024-12-21"
"aus_1088","Australia","Melbourne","22.9",51,"79.2",163,"None","Koeppen-B","Arid","Desert","25.4","21.7","E","Winter","767460","43323605.32",7,"2024-12-22"
"aus_1089","Australia","Melbourne","28.3",53,"11.1",119,"None","Koeppen-C","Arid","Wetland","31","8.3","SW","Winter","3506729","36507058.27",2,"2024-12-23"
"aus_109","Australia","Sydney","-6.2",43,"196.7",325,"None","Koeppen-D","Arid","Desert","-4.1","38.7","NE","Spring","638536","20569610.46",1,"2024-04-18"
"aus_1090","Australia","Melbourne","29.6",74,"189.5",496,"None","Koeppen-B","Arid","Tundra","33.3","15.7","W","Winter","8924669","90153870.34",6,"2024-12-24"
"aus_1091","Australia","Melbourne","5.5",46,"111.8",235,"None","Koeppen-B","Arid","Grassland","7.8","15.8","SE","Winter","2550222","77810817.07",4,"2024-12-25"
"aus_1092","Australia","Melbourne","25.1",30,"52.3",273,"None","Koeppen-C","Arid","Forest","26.6","25","SE","Winter","4415833","39104841.12",8,"2024-12-26"
"aus_1093","Australia","Melbourne","7.3",40,"198.9",296,"None","Koeppen-C","Arid","Wetland","9.3","35.2","SE","Winter","9255860","84054596.38",4,"2024-12-27"
"aus_1094","Australia","Melbourne","26",65,"103.2",446,"None","Koeppen-A","Arid","Forest","29.2","20","W","Winter","495605","71449468.55",7,"2024-12-28"
"aus_1095","Australia","Melbourne","29.4",77,"86",323,"Hurricane","Koeppen-B","Arid","Tundra","33.2","30.8","E","Winter","3422525","20440694.84",4,"2024-12-29"
"aus_1096","Australia","Melbourne","1.1",31,"38",391,"None","Koeppen-A","Arid","Forest","2.7","35.2","W","Winter","9362824","96158685.63",6,"2024-12-30"
"aus_1097","Australia","Melbourne","19.7",32,"192.9",281,"Drought","Koeppen-B","Arid","Grassland","21.3","6.1","NE","Winter","4267857","20137289.88",9,"2024-12-31"
"aus_1098","Australia","Melbourne","36",75,"50",206,"None","Koeppen-B","Arid","Desert","39.8","26.7","E","Winter","9759832","42688146.81",5,"2025-01-01"
"aus_1099","Australia","Melbourne","-5.4",55,"141.1",208,"None","Koeppen-B","Arid","Tundra","-2.7","35.7","N","Winter","1123795","73368782.27",9,"2025-02-01"
"aus_11","Australia","Sydney","7.8",54,"130.3",176,"Drought","Koeppen-D","Arid","Wetland","10.5","18.4","SW","Winter","5169657","42652449.21",6,"2024-11-01"
"aus_110","Australia","Sydney","16.2",15,"39",193,"Flood","Koeppen-C","Arid","Grassland","16.9","5","NE","Spring","2392599","53044800.71",3,"2024-04-19"
"aus_1100","Australia","Melbourne","32.8",59,"50.7",279,"None","Koeppen-B","Arid","Grassland","35.8","24.3","NW","Winter","8441795","38826119.42",3,"2025-03-01"
"aus_1101","Australia","Melbourne","15",68,"78.2",322,"None","Koeppen-D","Arid","Forest","18.4","9.5","E","Winter","495626","89839915.58",5,"2025-04-01"
"aus_1102","Australia","Melbourne","24.3",48,"113.7",347,"None","Koeppen-D","Arid","Tundra","26.7","29.4","SE","Winter","7375703","4526204.58",3,"2025-05-01"
"aus_1103","Australia","Melbourne","17.5",85,"60.3",23,"Flood","Koeppen-B","Arid","Wetland","21.8","25.7","NW","Winter","5037070","67551523.87",2,"2025-06-01"
"aus_1104","Australia","Melbourne","40.6",98,"170",392,"None","Koeppen-B","Arid","Wetland","45.5","20.6","E","Winter","5381566","60592246.59",4,"2025-07-01"
"aus_1105","Australia","Melbourne","-0.7",80,"126.8",450,"Flood","Koeppen-B","Arid","Wetland","3.3","25.6","E","Winter","7534848","64935993.02",4,"2025-08-01"
"aus_1106","Australia","Melbourne","34.1",45,"124.2",309,"None","Koeppen-D","Arid","Wetland","36.4","21.8","SE","Winter","9166542","94102330.81",5,"2025-09-01"
"aus_1107","Australia","Melbourne","13.6",89,"112.7",458,"None","Koeppen-B","Arid","Tundra","18.1","13.3","W","Winter","1978008","28123306.23",1,"2025-10-01"
"aus_1108","Australia","Melbourne","35.2",15,"173.3",198,"None","Koeppen-D","Arid","Tundra","36","5.6","N","Winter","4598627","67156937.86",10,"2025-11-01"
"aus_1109","Australia","Melbourne","10.7",86,"164.5",356,"None","Koeppen-A","Arid","Desert","15","21.6","E","Winter","8589161","91786503.92",6,"2025-12-01"
"aus_111","Australia","Sydney","25.1",62,"185.3",238,"Flood","Koeppen-A","Arid","Forest","28.2","1.8","W","Spring","8268732","81545239.91",9,"2024-04-20"
"aus_1110","Australia","Melbourne","28.5",98,"63.7",223,"None","Koeppen-C","Arid","Wetland","33.4","26","SE","Winter","6687790","92028178.9",2,"2025-01-13"
"aus_1111","Australia","Melbourne","22.3",61,"167.7",211,"None","Koeppen-B","Arid","Tundra","25.4","22.5","S","Winter","7358455","92289084.26",2,"2025-01-14"
"aus_1112","Australia","Melbourne","37.8",12,"153.6",186,"None","Koeppen-D","Arid","Tundra","38.4","39","SE","Winter","9692194","6652265.09",2,"2025-01-15"
"aus_1113","Australia","Melbourne","-9.2",36,"15.2",46,"None","Koeppen-D","Arid","Wetland","-7.4","24.3","W","Winter","2260128","81547267.4",4,"2025-01-16"
"aus_1114","Australia","Melbourne","44",65,"187.7",211,"None","Koeppen-C","Arid","Tundra","47.2","23.8","NE","Winter","6030815","64120022.37",7,"2025-01-17"
"aus_1115","Australia","Melbourne","14",17,"52.8",369,"Hurricane","Koeppen-C","Arid","Grassland","14.8","0.2","W","Winter","7736835","79557237.45",10,"2025-01-18"
"aus_1116","Australia","Melbourne","11.6",46,"129.5",52,"None","Koeppen-B","Arid","Wetland","13.9","2.1","SE","Winter","3694933","22932262.84",5,"2025-01-19"
"aus_1117","Australia","Melbourne","1.7",71,"139.7",75,"Flood","Koeppen-C","Arid","Wetland","5.2","39.1","NE","Winter","168459","46295380.38",2,"2025-01-20"
"aus_1118","Australia","Melbourne","-2.1",83,"86.6",288,"None","Koeppen-C","Arid","Wetland","2.1","13.2","NE","Winter","5697852","375529.91",1,"2025-01-21"
"aus_1119","Australia","Melbourne","41.7",39,"36.3",54,"None","Koeppen-A","Arid","Wetland","43.7","34.6","SE","Winter","8089154","13016750.62",6,"2025-01-22"
"aus_112","Australia","Sydney","30.4",79,"116.8",301,"None","Koeppen-A","Arid","Grassland","34.4","33.6","SW","Spring","3301832","46323804.52",4,"2024-04-21"
"aus_1120","Australia","Melbourne","42.5",78,"66.1",63,"None","Koeppen-D","Arid","Tundra","46.4","30.2","W","Winter","5613554","64235151.27",4,"2025-01-23"
"aus_1121","Australia","Melbourne","28.5",51,"23.7",28,"None","Koeppen-D","Arid","Wetland","31.1","39.9","SE","Winter","2076449","67308127.2",5,"2025-01-24"
"aus_1122","Australia","Melbourne","38.9",10,"142.5",95,"Drought","Koeppen-D","Arid","Forest","39.4","31.7","SE","Winter","3791407","49386386.62",2,"2025-01-25"
"aus_1123","Australia","Melbourne","9.8",40,"136.1",216,"None","Koeppen-D","Arid","Wetland","11.8","0.3","W","Winter","4919567","92276697.64",3,"2025-01-26"
